,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Salary Level,low_salary,medium_salary,high_salary
23,2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,M,High Salary,,,230000
24,2023,SE,FT,Analytics Engineer,143200,USD,143200,GB,100,GB,M,High Salary,,,143200
25,2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M,High Salary,,,225000
26,2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,M,High Salary,,,156400
27,2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M,High Salary,,,200000
28,2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M,Medium Salary,,130000,
29,2023,SE,FT,Data Strategist,90000,USD,90000,CA,0,CA,M,Low Salary,90000,,
30,2023,SE,FT,Data Strategist,72000,USD,72000,CA,0,CA,M,Low Salary,72000,,
31,2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M,High Salary,,,253200
32,2023,SE,FT,Data Engineer,90700,USD,90700,US,0,US,M,Low Salary,90700,,
33,2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M,High Salary,,,342810
34,2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,M,High Salary,,,184590
35,2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,High Salary,,,162500
36,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,Medium Salary,,130000,
37,2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M,Medium Salary,,105380,
38,2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M,Low Salary,64500,,
39,2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,L,Medium Salary,,100000,
40,2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L,Low Salary,30000,,
41,2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,L,Low Salary,20984,,
42,2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,L,High Salary,,,204620
43,2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,L,Medium Salary,,110680,
44,2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,M,High Salary,,,270703
45,2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M,High Salary,,,221484
46,2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M,High Salary,,,212750
47,2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M,High Salary,,,185000
48,2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M,High Salary,,,262000
49,2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M,High Salary,,,245000
50,2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M,High Salary,,,275300
51,2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M,High Salary,,,183500
52,2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M,High Salary,,,218500
53,2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,M,High Salary,,,199098
54,2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,M,High Salary,,,203300
55,2023,SE,FT,Data Engineer,123600,USD,123600,US,100,US,M,Medium Salary,,123600,
56,2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,M,High Salary,,,189110
57,2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,M,High Salary,,,139000
58,2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M,High Salary,,,258750
59,2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,M,High Salary,,,185000
60,2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,M,High Salary,,,231500
61,2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M,High Salary,,,166000
62,2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,M,High Salary,,,172500
63,2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,M,Medium Salary,,110500,
64,2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M,High Salary,,,238000
65,2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,M,High Salary,,,176000
66,2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,M,High Salary,,,237000
67,2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,M,High Salary,,,201450
68,2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,High Salary,,,309400
69,2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,High Salary,,,159100
70,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,Medium Salary,,115000,
71,2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,Low Salary,81500,,
72,2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M,High Salary,,,237000
73,2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,M,High Salary,,,201450
74,2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M,High Salary,,,280000
75,2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M,High Salary,,,210000
76,2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M,High Salary,,,280100
77,2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,M,High Salary,,,168100
78,2023,SE,FT,Data Engineer,193500,USD,193500,US,100,US,M,High Salary,,,193500
79,2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,M,High Salary,,,139000
80,2023,MI,FT,Data Scientist,510000,HKD,65062,HK,0,HK,L,Low Salary,65062,,
81,2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M,High Salary,,,150000
82,2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,IN,100,DE,S,Low Salary,69751,,
83,2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L,High Salary,,,300000
84,2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NL,100,NL,L,Medium Salary,,96578,
85,2023,SE,FT,Business Intelligence Engineer,185900,USD,185900,US,0,US,M,High Salary,,,185900
86,2023,SE,FT,Business Intelligence Engineer,129300,USD,129300,US,0,US,M,Medium Salary,,129300,
87,2023,SE,FT,Data Engineer,225000,USD,225000,US,100,US,M,High Salary,,,225000
88,2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M,High Salary,,,175000
89,2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,High Salary,,,185000
90,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,High Salary,,,140000
91,2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,Low Salary,48289,,
92,2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,Low Salary,38631,,
93,2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M,Medium Salary,,105000,
94,2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M,Low Salary,70000,,
95,2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,M,High Salary,,,163196
96,2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,0,US,M,High Salary,,,145885
97,2023,SE,FT,Data Engineer,217000,USD,217000,US,100,US,M,High Salary,,,217000
98,2023,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M,High Salary,,,185000
99,2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L,High Salary,,,202800
100,2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,L,Medium Salary,,104300,
101,2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M,High Salary,,,145000
102,2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M,Low Salary,65000,,
103,2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,High Salary,,,165000
104,2023,SE,FT,Data Engineer,132300,USD,132300,US,0,US,M,Medium Salary,,132300,
105,2023,SE,FT,Data Engineer,179170,USD,179170,US,0,US,M,High Salary,,,179170
106,2023,SE,FT,Data Engineer,94300,USD,94300,US,0,US,M,Low Salary,94300,,
107,2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,M,High Salary,,,152500
108,2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,M,Medium Salary,,116450,
109,2023,SE,FT,Data Engineer,247300,USD,247300,US,0,US,M,High Salary,,,247300
110,2023,SE,FT,Data Engineer,133800,USD,133800,US,0,US,M,Medium Salary,,133800,
111,2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,M,High Salary,,,203000
112,2023,SE,FT,Research Engineer,133000,USD,133000,US,0,US,M,Medium Salary,,133000,
113,2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,L,High Salary,,,220000
114,2022,EN,FT,Machine Learning Engineer,54000,CHF,56536,CH,100,CH,S,Low Salary,56536,,
115,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,High Salary,,,150000
116,2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M,Medium Salary,,120000,
117,2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,High Salary,,,289800
118,2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0,US,M,High Salary,,,214000
119,2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M,High Salary,,,179820
120,2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M,High Salary,,,143860
121,2023,SE,FT,Machine Learning Engineer,283200,USD,283200,US,100,US,M,High Salary,,,283200
122,2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M,High Salary,,,188800
123,2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,High Salary,,,289800
124,2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,M,High Salary,,,214200
125,2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M,High Salary,,,185900
126,2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M,Medium Salary,,129300,
127,2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M,High Salary,,,252000
128,2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M,Medium Salary,,129000,
129,2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M,High Salary,,,155000
130,2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M,High Salary,,,140000
131,2023,SE,FT,Data Engineer,161800,USD,161800,US,100,US,M,High Salary,,,161800
132,2023,SE,FT,Data Engineer,141600,USD,141600,US,100,US,M,High Salary,,,141600
133,2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0,US,L,High Salary,,,342300
134,2023,SE,FT,Machine Learning Engineer,176100,USD,176100,US,0,US,L,High Salary,,,176100
135,2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,Medium Salary,,100000,
136,2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,Low Salary,70000,,
137,2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,Low Salary,85000,,
138,2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,Low Salary,65000,,
139,2023,SE,FT,Data Scientist,138784,USD,138784,US,100,US,M,High Salary,,,138784
140,2023,SE,FT,Data Scientist,83270,USD,83270,US,100,US,M,Low Salary,83270,,
141,2023,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M,Low Salary,75000,,
142,2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M,Low Salary,70000,,
143,2023,SE,FT,Data Analyst,204500,USD,204500,US,0,US,M,High Salary,,,204500
144,2023,SE,FT,Data Analyst,138900,USD,138900,US,0,US,M,High Salary,,,138900
145,2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M,High Salary,,,318300
146,2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100,US,M,High Salary,,,212200
147,2023,SE,FT,Data Engineer,95000,USD,95000,US,100,US,M,Low Salary,95000,,
148,2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M,Low Salary,75000,,
149,2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M,High Salary,,,195000
150,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,High Salary,,,160000
151,2023,SE,FT,Analytics Engineer,230000,USD,230000,US,0,US,M,High Salary,,,230000
152,2023,SE,FT,Analytics Engineer,143200,USD,143200,US,0,US,M,High Salary,,,143200
153,2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,Medium Salary,,100000,
154,2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,Low Salary,70000,,
155,2023,MI,FT,Business Data Analyst,105000,USD,105000,US,50,US,L,Medium Salary,,105000,
156,2023,MI,FT,Applied Data Scientist,1700000,INR,20670,IN,100,IN,L,Low Salary,20670,,
157,2023,MI,FT,Data Analyst,38000,GBP,46178,GB,0,GB,M,Low Salary,46178,,
158,2023,MI,FT,Data Analyst,35000,GBP,42533,GB,0,GB,M,Low Salary,42533,,
159,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,High Salary,,,145000
160,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,Medium Salary,,115000,
161,2023,SE,FT,Data Analyst,168400,USD,168400,US,0,US,M,High Salary,,,168400
162,2023,SE,FT,Data Analyst,105200,USD,105200,US,0,US,M,Medium Salary,,105200,
163,2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,High Salary,,,309400
164,2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,High Salary,,,159100
165,2023,SE,FT,Machine Learning Engineer,190000,USD,190000,US,0,US,M,High Salary,,,190000
166,2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M,High Salary,,,150000
167,2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,High Salary,,,162500
168,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,Medium Salary,,130000,
169,2023,SE,FT,Analytics Engineer,150000,USD,150000,US,100,US,M,High Salary,,,150000
170,2023,SE,FT,Analytics Engineer,120000,USD,120000,US,100,US,M,Medium Salary,,120000,
171,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,High Salary,,,145000
172,2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M,Medium Salary,,120000,
173,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,High Salary,,,222200
174,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,High Salary,,,136000
175,2023,SE,FT,Data Analyst,45000,GBP,54685,CF,100,CF,M,Low Salary,54685,,
176,2023,SE,FT,Data Analyst,35000,GBP,42533,CF,100,CF,M,Low Salary,42533,,
177,2023,SE,FT,Data Engineer,241000,USD,241000,US,0,US,M,High Salary,,,241000
178,2023,SE,FT,Data Engineer,155000,USD,155000,US,0,US,M,High Salary,,,155000
179,2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,High Salary,,,220000
180,2023,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M,High Salary,,,190000
181,2023,MI,FT,Data Scientist,55000,GBP,66837,GB,0,GB,M,Low Salary,66837,,
182,2023,MI,FT,Data Scientist,45000,GBP,54685,GB,0,GB,M,Low Salary,54685,,
183,2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,M,Low Salary,15000,,
184,2023,MI,FT,ETL Engineer,70000,GBP,85066,GB,100,GB,M,Low Salary,85066,,
185,2023,MI,FT,ETL Engineer,47500,GBP,57723,GB,100,GB,M,Low Salary,57723,,
186,2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M,Low Salary,85000,,
187,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M,Low Salary,75000,,
188,2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M,High Salary,,,160000
189,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,High Salary,,,140000
190,2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M,High Salary,,,300000
191,2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M,High Salary,,,250000
192,2023,SE,FT,Data Scientist,228000,USD,228000,US,0,US,M,High Salary,,,228000
193,2023,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M,High Salary,,,186000
194,2023,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M,High Salary,,,190000
195,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,High Salary,,,170000
196,2023,MI,FT,Research Engineer,230000,USD,230000,US,0,US,M,High Salary,,,230000
197,2023,MI,FT,Research Engineer,200000,USD,200000,US,0,US,M,High Salary,,,200000
198,2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M,High Salary,,,180000
199,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,Medium Salary,,115000,
200,2023,SE,FT,Data Architect,200000,USD,200000,US,100,US,M,High Salary,,,200000
201,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,Medium Salary,,115000,
202,2023,SE,FT,Data DevOps Engineer,50000,EUR,53654,FR,50,FR,S,Low Salary,53654,,
203,2023,EX,FT,Data Engineer,220000,USD,220000,US,0,US,M,High Salary,,,220000
204,2023,EX,FT,Data Engineer,205000,USD,205000,US,0,US,M,High Salary,,,205000
205,2023,MI,FT,Data Engineer,180000,USD,180000,US,0,US,M,High Salary,,,180000
206,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,Medium Salary,,130000,
207,2023,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M,High Salary,,,200000
208,2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,High Salary,,,150000
209,2023,SE,FT,Computer Vision Engineer,215000,USD,215000,US,0,US,M,High Salary,,,215000
210,2023,SE,FT,Computer Vision Engineer,170000,USD,170000,US,0,US,M,High Salary,,,170000
211,2023,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M,High Salary,,,247500
212,2023,SE,FT,Machine Learning Engineer,172200,USD,172200,US,0,US,M,High Salary,,,172200
213,2023,SE,FT,Data Scientist,224000,USD,224000,CA,0,CA,M,High Salary,,,224000
214,2023,SE,FT,Data Scientist,176000,USD,176000,CA,0,CA,M,High Salary,,,176000
215,2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M,Medium Salary,,120000,
216,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M,Low Salary,75000,,
217,2023,EN,FT,Data Engineer,1400000,INR,17022,IN,100,IN,L,Low Salary,17022,,
218,2023,SE,FT,Applied Data Scientist,100000,AUD,68318,AU,100,FI,M,Low Salary,68318,,
219,2023,MI,FT,AI Developer,100000,SGD,75020,FI,0,FI,M,Low Salary,75020,,
220,2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M,High Salary,,,140000
221,2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M,Medium Salary,,120000,
222,2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M,Medium Salary,,128000,
223,2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,Low Salary,81500,,
224,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,High Salary,,,145000
225,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,Medium Salary,,115000,
226,2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,High Salary,,,185000
227,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,High Salary,,,140000
228,2023,EX,FT,Head of Data,329500,USD,329500,US,0,US,M,High Salary,,,329500
229,2023,EX,FT,Head of Data,269600,USD,269600,US,0,US,M,High Salary,,,269600
230,2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M,Medium Salary,,100000,
231,2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M,Low Salary,80000,,
232,2023,SE,FT,Data Scientist,250000,USD,250000,US,0,US,M,High Salary,,,250000
233,2023,SE,FT,Data Scientist,162500,USD,162500,US,0,US,M,High Salary,,,162500
234,2023,MI,FT,AI Developer,200000,USD,200000,US,100,US,M,High Salary,,,200000
235,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,High Salary,,,145000
236,2023,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M,Medium Salary,,100000,
237,2023,EX,FT,Data Engineer,145000,USD,145000,US,0,US,M,High Salary,,,145000
238,2023,EX,FT,Data Engineer,115000,USD,115000,US,0,US,M,Medium Salary,,115000,
239,2023,SE,FT,Data Scientist,203500,USD,203500,US,0,US,M,High Salary,,,203500
240,2023,SE,FT,Data Scientist,152000,USD,152000,US,0,US,M,High Salary,,,152000
241,2023,SE,FT,Data Scientist,239000,USD,239000,US,0,US,L,High Salary,,,239000
242,2023,SE,FT,Data Scientist,122900,USD,122900,US,0,US,L,Medium Salary,,122900,
243,2023,SE,FT,Data Scientist,237000,USD,237000,US,0,US,M,High Salary,,,237000
244,2023,SE,FT,Data Scientist,145000,USD,145000,US,0,US,M,High Salary,,,145000
245,2023,SE,FT,Data Science Manager,191765,USD,191765,US,0,US,M,High Salary,,,191765
246,2023,SE,FT,Data Science Manager,134236,USD,134236,US,0,US,M,Medium Salary,,134236,
247,2023,SE,FT,Analytics Engineer,190000,USD,190000,US,100,US,M,High Salary,,,190000
248,2023,SE,FT,Analytics Engineer,112000,USD,112000,US,100,US,M,Medium Salary,,112000,
249,2022,SE,FT,Data Scientist,84000,EUR,88256,ES,100,GB,L,Low Salary,88256,,
250,2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,Low Salary,85000,,
251,2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,Low Salary,65000,,
252,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M,Medium Salary,,135000,
253,2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M,Medium Salary,,105500,
254,2023,SE,FT,Research Engineer,293000,USD,293000,US,0,US,M,High Salary,,,293000
255,2023,SE,FT,Research Engineer,185000,USD,185000,US,0,US,M,High Salary,,,185000
256,2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M,Low Salary,80000,,
257,2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M,Low Salary,70000,,
258,2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,High Salary,,,220000
259,2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M,High Salary,,,160000
260,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,High Salary,,,175000
261,2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M,High Salary,,,145000
262,2023,SE,FT,Data Analyst,200000,USD,200000,US,0,US,M,High Salary,,,200000
263,2023,SE,FT,Data Analyst,148500,USD,148500,US,0,US,M,High Salary,,,148500
264,2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,Low Salary,48289,,
265,2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,Low Salary,38631,,
266,2023,SE,FT,Data Engineer,240500,USD,240500,US,0,US,L,High Salary,,,240500
267,2023,SE,FT,Data Engineer,123700,USD,123700,US,0,US,L,Medium Salary,,123700,
268,2023,SE,FT,Analytics Engineer,152900,USD,152900,US,100,US,M,High Salary,,,152900
269,2023,SE,FT,Analytics Engineer,117100,USD,117100,US,100,US,M,Medium Salary,,117100,
270,2023,SE,FT,Analytics Engineer,173000,USD,173000,US,100,US,M,High Salary,,,173000
271,2023,SE,FT,Analytics Engineer,113000,USD,113000,US,100,US,M,Medium Salary,,113000,
272,2023,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L,High Salary,,,260000
273,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,High Salary,,,136000
274,2023,EX,FT,Data Engineer,175000,USD,175000,US,0,US,M,High Salary,,,175000
275,2023,EX,FT,Data Engineer,110000,USD,110000,US,0,US,M,Medium Salary,,110000,
276,2023,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L,High Salary,,,260000
277,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,High Salary,,,136000
278,2023,SE,FT,Research Scientist,130000,USD,130000,US,100,US,M,Medium Salary,,130000,
279,2023,SE,FT,Research Scientist,110000,USD,110000,US,100,US,M,Medium Salary,,110000,
280,2023,SE,FT,Applied Scientist,205000,USD,205000,US,100,US,M,High Salary,,,205000
281,2023,SE,FT,Applied Scientist,184000,USD,184000,US,100,US,M,High Salary,,,184000
282,2023,SE,FT,Data Analyst,149500,USD,149500,US,100,US,M,High Salary,,,149500
283,2023,SE,FT,Data Analyst,127075,USD,127075,US,100,US,M,Medium Salary,,127075,
284,2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M,High Salary,,,195000
285,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,High Salary,,,160000
286,2023,SE,FT,Data Engineer,219535,USD,219535,US,100,US,M,High Salary,,,219535
287,2023,SE,FT,Data Engineer,146115,USD,146115,US,100,US,M,High Salary,,,146115
288,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,High Salary,,,170000
289,2023,SE,FT,Data Scientist,135000,USD,135000,US,0,US,M,Medium Salary,,135000,
290,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,High Salary,,,175000
291,2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M,High Salary,,,145000
292,2023,SE,FT,Data Scientist,199000,USD,199000,US,0,US,M,High Salary,,,199000
293,2023,SE,FT,Data Scientist,162000,USD,162000,US,0,US,M,High Salary,,,162000
294,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,High Salary,,,222200
295,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,High Salary,,,136000
